AgeGroup,Metric,Layer,Beta_Age,p_Age,Beta_logVol,p_logVol,p_Age_FDR,p_logVol_FDR
<50,MD,Outer1,0.857731825278235,0.09127802690518527,-0.4184906640744486,0.04596729634744995,0.1839368111587047,0.13163362135860668
<50,MD,Outer2,0.4725786844546714,0.3449714141939215,-0.7222733914838484,0.0006416224908138436,0.4335821186012652,0.0064693450413678645
<50,MD,Outer3,0.18083168329745689,0.7183399256362688,-0.7256244401525371,0.000635274530672271,0.7762832214349286,0.0064693450413678645
<50,MD,Outer4,0.32520140323011515,0.502922979624758,-0.6946936649013439,0.0007188161157075405,0.5977011674774451,0.0064693450413678645
<50,MD,Outer5,0.2974253578456252,0.5294585647308178,-0.5696440159187439,0.0041160263206464825,0.6064707196007549,0.021609138183394036
<50,FA,Center,,,,,,
<50,FA,Inner2,1.276751201294876,0.09009737837267119,-0.7534515073120724,0.25649353548727855,0.1839368111587047,0.41433571117175766
<50,FA,Inner1,0.8892857574433858,0.11166941297046566,-0.3978119652565303,0.08425169573268783,0.19542147269831492,0.1965872900429383
<50,FA,Outer1,0.8698320208494623,0.13462241439935926,-0.023104973953094774,0.9226774831521829,0.21203030267899084,0.9688113573097921
<50,FA,Outer2,0.8471379460719192,0.1450333139343929,0.1457104457128599,0.5408801729411439,0.21754997090158934,0.740770671636784
<50,FA,Outer3,0.9126742289807204,0.09927783465283123,0.12563692180076533,0.579272205849761,0.18953041160995052,0.7457124685593453
<50,FA,Outer4,0.7515679310402978,0.13267145274522657,-0.024992805021621416,0.9027959521542046,0.21203030267899084,0.9640024573849981
<50,FA,Outer5,0.5930304741747803,0.1956189498275011,-0.18692612030620082,0.32094823357601393,0.27386652975850156,0.4814223503640209
<50,g_ratio,Center,,,,,,
<50,g_ratio,Inner2,0.37483440624578307,0.7269953978517585,-1.8000068907250801,0.06721184395936573,0.7762832214349286,0.16937384677760164
<50,g_ratio,Inner1,-1.0950136148166996,0.04655233678265765,-0.3437614001915949,0.12753722917073945,0.13949915540872898,0.24348016478050258
<50,g_ratio,Outer1,-0.6880980346880868,0.17299721189138614,-0.4311734420412365,0.039232298958581616,0.24770055338993927,0.12722668811913404
<50,g_ratio,Outer2,-0.6303350347954529,0.1571149959078022,-0.28608478553331657,0.11920691091528794,0.2301917381905009,0.2433966889556355
<50,g_ratio,Outer3,-0.6221492332699711,0.11889470453805041,0.005117431724724293,0.9749954104982845,0.19711490489203096,0.9751535807740714
<50,g_ratio,Outer4,-0.7096068029119351,0.05558080303482056,0.062463541538002584,0.6797173220179042,0.14715229359880566,0.8079658733420371
