Metric,Layer,Beta_Age_raw,PctChangePerDecade,p_Age_raw,R2_full,R2_AgeOnly,R2_VolOnly,PartialR2_Age,PartialR2_Vol,p_Age_FDR,Group,GroupCombined
ISOVF,Inner2,0.0013045786088748336,6.897444710979022,7.523698458657468e-06,0.2616240514971756,0.24010371478061276,0.19510592372547064,0.08264208885669234,0.028320097275314052,1.805687630077792e-05,Fluid-sensitive,Fluid/Composite
ISOVF,Inner1,0.0022872416518880424,12.038918728676142,3.266991975252963e-14,0.28767028606933065,0.28401936059523214,0.14655613493480324,0.16534672860264493,0.005099195806654374,3.3603346031173333e-13,Fluid-sensitive,Fluid/Composite
ISOVF,Outer1,0.0018203879615328376,12.215352695387168,5.5245257857206937e-17,0.24193320533633977,0.20352599043160025,0.05518963692597956,0.1976519053016885,0.04822155455587555,7.955317131437798e-16,Fluid-sensitive,Fluid/Composite
ISOVF,Outer2,0.0015107271082048072,11.999430516090829,1.463933945373279e-19,0.24854350760319466,0.1776706177700934,0.0283378520480152,0.2266278006396736,0.08618552536808982,2.6350811016719025e-18,Fluid-sensitive,Fluid/Composite
ISOVF,Outer3,0.0012695486971344338,11.395586651817526,3.8273036751380565e-20,0.2551929642459012,0.18212233247108234,0.028884126808870203,0.23303999418047833,0.08934176182556705,9.185528820331337e-19,Fluid-sensitive,Fluid/Composite
ISOVF,Outer4,0.0011494869057596293,11.081849180816226,2.3278734176258958e-22,0.2855041322039986,0.21199067860752163,0.03840943786598816,0.2569645585847318,0.09329008122210099,8.380344303453226e-21,Fluid-sensitive,Fluid/Composite
ISOVF,Outer5,0.0010769838592548145,10.844495935164131,9.462694388956038e-23,0.30342178232435946,0.2440180516097068,0.05726390009707205,0.26111006277645876,0.07857823965392373,6.813139960048347e-21,Fluid-sensitive,Fluid/Composite
ICVF,Center,0.001172177123287368,4.406909520207435,0.1359900067786828,0.12125683441545476,0.0008851804515449535,0.10120208324199953,0.022312858985914775,0.12047829899901913,0.17484429442973504,Axon-sensitive,Axon-sensitive
ICVF,Inner2,0.0012541540126919505,4.13477248087869,4.907250206936856e-05,0.068622016116349,0.03299406401093563,0.00019389237675682125,0.06844139400414419,0.036843571253751095,0.00010094914711412962,Axon-sensitive,Axon-sensitive
ICVF,Inner1,0.0012128258590126083,3.3139000608977085,2.196933238778937e-07,0.08360717696120523,0.017314542305706504,0.0030002732288961775,0.08084947424545803,0.06746068554941606,6.590799716336812e-07,Axon-sensitive,Axon-sensitive
ICVF,Outer1,0.0009211864084110388,2.0860601412868354,1.2784225655954243e-06,0.15788906020982452,0.15775242121967248,0.09353325569470727,0.0709963216184383,0.0001622313837338747,3.409126841587798e-06,Axon-sensitive,Axon-sensitive
ICVF,Outer2,0.0006359204106271822,1.282037562416322,4.015436252475663e-05,0.21820681424363697,0.20908514227774366,0.17569694539952718,0.05157067974801292,0.011533064370749933,8.760951823583265e-05,Axon-sensitive,Axon-sensitive
ICVF,Outer3,0.0004908918066792117,0.9239445839729226,0.00034045574687464414,0.1806634598172413,0.17232431497989975,0.1469753599548872,0.03949252844627382,0.010075377334709347,0.0006809114937492883,Axon-sensitive,Axon-sensitive
ICVF,Outer4,0.00040132942439516687,0.731631534348593,0.0016149003665331307,0.10310561021133291,0.10186092223399046,0.07466561828592666,0.03073482676902646,0.0013858521560362698,0.003059811220799616,Axon-sensitive,Axon-sensitive
ICVF,Outer5,0.00037178774585059314,0.6675469246492592,0.002341563197943021,0.048510530926777484,0.04657055987865677,0.02043984629210094,0.028656417401648527,0.0020347295420978543,0.004322885903894808,Axon-sensitive,Axon-sensitive
